"","BldgType","SalePrice","YearBuilt"
"466","TwnhsE",178740,2004
"467","1Fam",167000,1970
"468","1Fam",146500,1942
"469","1Fam",250000,2006
"470","1Fam",187000,1993
"471","TwnhsE",212000,1985
"472","1Fam",190000,1977
"473","TwnhsE",148000,2005
"474","1Fam",440000,2006
"475","TwnhsE",251000,2000
"476","1Fam",132500,1963
"477","1Fam",208900,1997
"478","1Fam",380000,2006
"479","1Fam",297000,2007
"480","1Fam",89471,1937
"481","1Fam",326000,2004
"482","1Fam",374000,2003
"483","1Fam",155000,1915
"484","Twnhs",164000,1998
"485","1Fam",132500,1962
"486","1Fam",147000,1950
"487","1Fam",156000,1965
"488","1Fam",175000,1971
"489","2fmCon",160000,1900
"490","Twnhs",86000,1970
"491","TwnhsE",115000,1976
"492","1Fam",133000,1941
"493","1Fam",172785,2006
"494","1Fam",155000,1960
"495","1Fam",91300,1938
"496","1Fam",34900,1920
"497","1Fam",430000,1992
"498","1Fam",184000,1925
"499","1Fam",130000,1967
"500","1Fam",120000,1958
"501","Twnhs",113000,1973
"502","1Fam",226700,2005
"503","1Fam",140000,1965
"504","1Fam",289000,1959
"505","TwnhsE",147000,1974
"506","Duplex",124500,1952
"507","1Fam",215000,1993
"508","1Fam",208300,2009
"509","1Fam",161000,1928
"510","1Fam",124500,1959
"511","1Fam",164900,1951
"512","TwnhsE",202665,2005
"513","1Fam",129900,1958
"514","1Fam",134000,1983
"515","1Fam",96500,1926
"516","1Fam",402861,2009
"517","1Fam",158000,1972
"518","1Fam",265000,1996
"519","1Fam",211000,1998
"520","1Fam",234000,1926
"521","2fmCon",106250,1900
"522","1Fam",150000,1957
"523","1Fam",159000,1947
"524","1Fam",184750,2007
"525","1Fam",315750,1996
"526","1Fam",176000,2005
"527","1Fam",132000,1956
"528","1Fam",446261,2008
"529","1Fam",86000,1920
"530","1Fam",200624,1957
"531","1Fam",175000,1988
"532","1Fam",128000,1920
"533","1Fam",107500,1955
"534","1Fam",39300,1946
"535","1Fam",178000,2004
"536","2fmCon",107500,1910
"537","1Fam",188000,1998
"538","1Fam",111250,1972
"539","1Fam",158000,1968
"540","1Fam",272000,2001
"541","1Fam",315000,2006
"542","1Fam",248000,2000
"543","1Fam",213250,1998
"544","TwnhsE",133000,1998
"545","1Fam",179665,2006
"546","1Fam",229000,1988
"547","1Fam",210000,1923
"548","1Fam",129500,1970
"549","1Fam",125000,1955
"550","1Fam",263000,2003
"551","TwnhsE",140000,1977
"552","1Fam",112500,1957
"553","1Fam",255500,2006
"554","1Fam",108000,1949
"555","1Fam",284000,2003
"556","1Fam",113000,1922
"557","1Fam",141000,1957
"558","1Fam",108000,1920
"559","1Fam",175000,1996
"560","TwnhsE",234000,2003
"561","1Fam",121500,1957
"562","1Fam",170000,1974
"563","1Fam",108000,1940
"564","1Fam",185000,1918
"565","1Fam",268000,1992
"566","1Fam",128000,1915
"567","1Fam",325000,2005
"568","1Fam",214000,2004
"569","1Fam",316600,1983
"570","Duplex",135960,1979
"571","Duplex",142600,1965
"572","1Fam",120000,1959
"573","1Fam",224500,2009
"574","1Fam",170000,2000
"575","1Fam",139000,1971
"576","1Fam",118500,1947
"577","1Fam",145000,1928
"578","1Fam",164500,1966
"579","TwnhsE",146000,2007
"580","1Fam",131500,1954
"581","1Fam",181900,1960
"582","1Fam",253293,2008
"583","Duplex",118500,1990
"584","1Fam",325000,1893
"585","1Fam",133000,1935
"586","1Fam",369900,2005
"587","1Fam",130000,1918
"588","1Fam",137000,1982
"589","1Fam",143000,1968
"590","1Fam",79500,1930
"591","1Fam",185900,2004
"592","1Fam",451950,2008
"593","1Fam",138000,1982
"594","TwnhsE",140000,2003
"595","1Fam",110000,1975
"596","1Fam",319000,2005
"597","1Fam",114504,1910
"598","TwnhsE",194201,2006
"599","1Fam",217500,1977
"600","Twnhs",151000,1980
"601","1Fam",275000,2005
"602","1Fam",141000,1937
"603","1Fam",220000,1992
"604","TwnhsE",151000,2004
"605","1Fam",221000,2002
"606","1Fam",205000,1965
"607","1Fam",152000,1996
"608","1Fam",225000,1948
"609","1Fam",359100,1934
"610","1Fam",118500,1961
"611","1Fam",313000,2000
"612","1Fam",148000,1978
"613","1Fam",261500,2001
"614","1Fam",147000,2007
"615","TwnhsE",75500,1972
"616","1Fam",137500,1963
"617","1Fam",183200,2002
"618","1Fam",105500,1954
"619","1Fam",314813,2007
"620","1Fam",305000,2003
"621","1Fam",67000,1914
"622","1Fam",240000,1974
"623","1Fam",135000,1977
"624","TwnhsE",168500,2000
"625","1Fam",165150,1972
"626","1Fam",160000,1962
"627","1Fam",139900,1960
"628","1Fam",153000,1955
"629","1Fam",135000,1969
"630","1Fam",168500,1964
"631","1Fam",124000,1880
"632","Twnhs",209500,2006
"633","1Fam",82500,1977
"634","1Fam",139400,1954
"635","Duplex",144000,1980
"636","2fmCon",200000,1914
"637","1Fam",60000,1936
"638","2fmCon",93000,1954
"639","1Fam",85000,1910
"640","TwnhsE",264561,2006
"641","TwnhsE",274000,2003
"642","1Fam",226000,2001
"643","1Fam",345000,1972
"644","1Fam",152000,1969
"645","1Fam",370878,2009
"646","1Fam",143250,1971
"647","1Fam",98300,1950
"648","1Fam",155000,1953
"649","1Fam",155000,1966
"650","Twnhs",84500,1970
"651","1Fam",205950,2007
"652","1Fam",108000,1940
"653","1Fam",191000,1996
"654","1Fam",135000,1906
"655","1Fam",350000,1995
"656","Twnhs",88000,1971
"657","1Fam",145500,1959
"658","1Fam",149000,1931
"659","1Fam",97500,1948
"660","1Fam",167000,1964
"661","1Fam",197900,1976
"662","1Fam",402000,1994
"663","1Fam",110000,1968
"664","1Fam",137500,1972
"665","1Fam",423000,2005
"666","1Fam",230500,2000
"667","1Fam",129000,1965
"668","1Fam",193500,1994
"669","1Fam",168000,1956
"670","1Fam",137500,1922
"671","1Fam",173500,2005
"672","1Fam",103600,1925
"673","1Fam",165000,1977
"674","1Fam",257500,1957
"675","1Fam",140000,1965
"676","Twnhs",148500,1978
"677","1Fam",87000,1900
"678","1Fam",109500,1924
"679","1Fam",372500,2008
"680","1Fam",128500,1961
"681","TwnhsE",143000,1980
"682","1Fam",159434,1932
"683","1Fam",173000,1996
"684","1Fam",285000,2002
"685","1Fam",221000,1998
"686","TwnhsE",207500,1984
"687","1Fam",227875,2007
"688","TwnhsE",148800,2004
"689","1Fam",392000,2007
"690","TwnhsE",194700,2005
"691","TwnhsE",141000,2004
"692","1Fam",755000,1994
"693","1Fam",335000,1989
"694","1Fam",108480,1921
"695","1Fam",141500,1936
"696","1Fam",176000,1987
"697","1Fam",89000,1921
"698","1Fam",123500,1952
"699","1Fam",138500,1965
"700","TwnhsE",196000,2004
"701","1Fam",312500,2002
"702","1Fam",140000,1969
"703","1Fam",361919,2006
"704","2fmCon",140000,1900
"705","1Fam",213000,2004
"706","2fmCon",55000,1930
"707","1Fam",302000,1971
"708","TwnhsE",254000,2006
"709","1Fam",179540,2007
"710","1Fam",109900,1966
"711","1Fam",52000,1935
"712","1Fam",102776,1900
"713","TwnhsE",189000,1988
"714","2fmCon",129000,1970
"715","1Fam",130500,1976
"716","1Fam",165000,1974
"717","1Fam",159500,1890
"718","1Fam",157000,1973
"719","1Fam",341000,1993
"720","1Fam",128500,1969
"721","1Fam",275000,1985
"722","TwnhsE",143000,2004
"723","1Fam",124500,1970
"724","1Fam",135000,1954
"725","1Fam",320000,2007
"726","1Fam",120500,1970
"727","1Fam",222000,1988
"728","1Fam",194500,2007
"729","Duplex",110000,1958
"730","1Fam",103000,1925
"731","TwnhsE",236500,1995
"732","1Fam",187500,2003
"733","1Fam",222500,1998
"734","1Fam",131400,1961
"735","1Fam",108000,1968
"736","1Fam",163000,1914
"737","Duplex",93500,1950
"738","1Fam",239900,2005
"739","Duplex",179000,1987
"740","1Fam",190000,2004
"741","1Fam",132000,1910
"742","1Fam",142000,1961
"743","1Fam",179000,2000
"744","1Fam",175000,1963
"745","TwnhsE",180000,1993
"746","1Fam",299800,1976
"747","1Fam",236000,2000
"748","1Fam",265979,1880
"749","1Fam",260400,1996
"750","1Fam",98000,1945
"751","1Fam",96500,1910
"752","1Fam",162000,2003
"753","1Fam",217000,1997
"754","1Fam",275500,2005
"755","1Fam",156000,1969
"756","TwnhsE",172500,1999
"757","1Fam",212000,2007
"758","1Fam",158900,1978
"759","Twnhs",179400,1999
"760","1Fam",290000,1995
"761","1Fam",127500,1959
"762","1Fam",100000,1924
"763","1Fam",215200,2009
"764","1Fam",337000,1999
"765","TwnhsE",270000,1995
"766","1Fam",264132,2008
"767","1Fam",196500,1988
"768","1Fam",160000,1940
"769","1Fam",216837,2004
"770","1Fam",538000,2003
"771","1Fam",134900,1982
"772","1Fam",102000,1951
"773","1Fam",107000,1976
"774","1Fam",114500,1958
"775","1Fam",395000,2006
"776","TwnhsE",162000,1998
"777","1Fam",221500,2005
"778","1Fam",142500,1974
"779","Duplex",144000,1977
"780","Duplex",135000,1977
"781","1Fam",176000,1995
"782","1Fam",175900,1992
"783","1Fam",187100,2001
"784","1Fam",165500,1978
"785","1Fam",128000,1914
"786","1Fam",161500,1967
"787","1Fam",139000,1915
"788","1Fam",233000,2004
"789","1Fam",107900,1954
"790","1Fam",187500,1966
"791","TwnhsE",160200,2005
"792","1Fam",146800,1976
"793","1Fam",269790,1996
"794","1Fam",225000,2007
"795","1Fam",194500,1994
"796","1Fam",171000,1980
"797","1Fam",143500,1977
"798","1Fam",110000,1953
"799","1Fam",485000,2008
"800","1Fam",175000,1937
"801","1Fam",200000,1997
"802","1Fam",109900,1916
"803","1Fam",189000,2005
"804","1Fam",582933,2008
"805","1Fam",118000,1954
"806","1Fam",227680,2008
"807","1Fam",135500,1967
"808","1Fam",223500,1923
"809","1Fam",159950,1966
"810","1Fam",106000,1898
"811","1Fam",181000,1974
"812","TwnhsE",144500,2004
"813","1Fam",55993,1952
"814","1Fam",157900,1958
"815","1Fam",116000,1918
"816","1Fam",224900,1998
"817","1Fam",137000,1954
"818","1Fam",271000,2002
"819","1Fam",155000,1971
"820","TwnhsE",224000,2009
"821","1Fam",183000,2003
"822","2fmCon",93000,1953
"823","1Fam",225000,2003
"824","1Fam",139500,1940
"825","1Fam",232600,2006
"826","1Fam",385000,2007
"827","1Fam",109500,1924
"828","1Fam",189000,2001
"829","1Fam",185000,1967
"830","Twnhs",147400,2005
"831","1Fam",166000,1957
"832","TwnhsE",151000,2005
"833","1Fam",237000,2003
"834","1Fam",167000,1964
"835","1Fam",139950,1961
"836","1Fam",128000,1950
"837","1Fam",153500,1948
"838","Twnhs",100000,1973
"839","1Fam",144000,1995
"840","1Fam",130500,1946
"841","1Fam",140000,1925
"842","1Fam",157500,1904
"843","1Fam",174900,1966
"844","Duplex",141000,1961
"845","1Fam",153900,1915
"846","1Fam",171000,1975
"847","1Fam",213000,1993
"848","1Fam",133500,1972
"849","1Fam",240000,1908
"850","1Fam",187000,1976
"851","TwnhsE",131500,2003
"852","TwnhsE",215000,2003
"853","1Fam",164000,1941
"854","1Fam",158000,1964
"855","1Fam",170000,1955
"856","1Fam",127000,1962
"857","1Fam",147000,1978
"858","1Fam",174000,1994
"859","1Fam",152000,1976
"860","1Fam",250000,1968
"861","1Fam",189950,1918
"862","2fmCon",131500,1965
"863","1Fam",152000,1984
"864","1Fam",132500,1959
"865","1Fam",250580,2007
"866","1Fam",148500,1970
"867","1Fam",248900,2006
"868","1Fam",129000,1961
"869","1Fam",169000,1948
"870","1Fam",236000,1993
"871","1Fam",109500,1962
"872","1Fam",200500,1998
"873","1Fam",116000,1953
"874","1Fam",133000,1949
"875","1Fam",66500,1941
"876","1Fam",303477,2007
"877","1Fam",132250,1963
"878","1Fam",350000,2004
"879","1Fam",148000,1961
"880","1Fam",136500,1978
"881","1Fam",157000,2005
"882","1Fam",187500,1990
"883","1Fam",178000,1992
"884","1Fam",118500,1912
"885","1Fam",100000,1967
"886","TwnhsE",328900,1999
"887","Duplex",145000,1959
"888","1Fam",135500,1955
"889","1Fam",268000,1970
"890","1Fam",149500,1953
"891","1Fam",122900,1949
"892","1Fam",172500,1978
"893","1Fam",154500,1963
"894","1Fam",165000,1954
"895","Duplex",118858,1979
"896","1Fam",140000,1963
"897","1Fam",106500,1936
"898","Duplex",142953,1979
"899","1Fam",611657,2009
"900","1Fam",135000,1961
"901","1Fam",110000,1971
"902","1Fam",153000,1957
"903","1Fam",180000,2003
"904","1Fam",240000,2006
"905","1Fam",125500,1967
"906","1Fam",128000,1954
"907","1Fam",255000,2006
"908","1Fam",250000,1936
"909","1Fam",131000,1983
"910","1Fam",174000,2005
"911","Duplex",154300,1960
"912","1Fam",143500,1977
"913","1Fam",88000,1925
"914","Duplex",145000,1949
"915","TwnhsE",173733,2009
"916","Twnhs",75000,1970
"917","1Fam",35311,1949
"918","1Fam",135000,1956
"919","1Fam",238000,1991
"920","1Fam",176500,1958
"921","1Fam",201000,1994
"922","Duplex",145900,1900
"923","1Fam",169990,2005
"924","TwnhsE",193000,1993
"925","1Fam",207500,1980
"926","1Fam",175000,1977
"927","1Fam",285000,2003
"928","1Fam",176000,1968
"929","1Fam",236500,2001
"930","1Fam",222000,1997
"931","1Fam",201000,2007
"932","1Fam",117500,1965
"933","1Fam",320000,2006
"934","1Fam",190000,2004
"935","1Fam",242000,1960
"936","1Fam",79900,1926
"937","1Fam",184900,2003
"938","1Fam",253000,2005
"939","1Fam",239799,2006
"940","1Fam",244400,1940
"941","Duplex",150900,1976
"942","1Fam",214000,1999
"943","Duplex",150000,1977
"944","Duplex",143000,1967
"945","1Fam",137500,1958
"946","1Fam",124900,1890
"947","1Fam",143000,1959
"948","1Fam",270000,2002
"949","1Fam",192500,2002
"950","1Fam",197500,1972
"951","1Fam",129000,1950
"952","1Fam",119900,1965
"953","1Fam",133900,1972
"954","1Fam",172000,1969
"955","Duplex",127500,1975
"956","Duplex",145000,1946
"957","TwnhsE",124000,1980
"958","1Fam",132000,1962
"959","1Fam",185000,2003
"960","Twnhs",155000,1999
"961","1Fam",116500,1958
"962","1Fam",272000,1977
"963","TwnhsE",155000,1976
"964","1Fam",239000,2007
"965","1Fam",214900,2002
"966","1Fam",178900,2005
"967","1Fam",160000,1940
"968","1Fam",135000,1955
"969","1Fam",37900,1910
"970","2fmCon",140000,1958
"971","1Fam",135000,1949
"972","Twnhs",173000,2003
"973","TwnhsE",99500,1979
"974","1Fam",182000,2007
"975","1Fam",167500,1910
"976","Twnhs",165000,2000
"977","1Fam",85500,1923
"978","TwnhsE",199900,2006
"979","1Fam",110000,1954
"980","1Fam",139000,1963
"981","1Fam",178400,1961
"982","1Fam",336000,1998
